Distancia_m,Angulo,Elevacion_m,Caudal_Invierno,Caudal_Primavera,Caudal_Verano,Caudal_Otono,Q_medio
1810,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1820,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1830,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1840,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1850,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1860,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1870,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1880,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1890,213.690067526022,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1900,225.0,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1910,225.0,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1920,225.0,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1930,225.0,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1940,225.0,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1950,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1960,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1970,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1980,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
1990,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2000,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2010,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2020,206.565051177078,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2030,243.434948822958,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2040,243.434948822958,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2050,243.434948822958,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2060,243.434948822958,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2070,243.434948822958,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2080,243.434948822958,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2090,243.434948822958,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2100,243.434948822958,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2110,206.565051177151,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2120,206.565051177151,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
2130,206.565051177151,0.0,123.7541282051282,110.79088535353536,30.604945165945168,43.88044603174603,77.25760118908869
